Card Number,Value,Owner
0919 9483 8176 8459,$126.50,commuter14
1788 6137 1948 1390,$127.00,busrider73
2792 0839 6535 9460,$20.00,sandrapatel
0524 8074 2555 1662,$59.50,ignacio.john
7792 6850 3597 7770,$80.25,riyoy1996
1325 1383 0932 5420,$97.00,kellis
6411 4147 3790 0960,$41.00,ashton.woods
9248 3245 4825 0130,$12.75,sandrapatel
8753 0757 2174 0010,$110.00,sandrapatel
7301 4425 9082 5470,$6.00,sandrapatel
4769 4323 0328 0540,$68.50,sandrapatel
4902 9658 8753 3820,$79.75,sandrapatel
0475 8616 8020 8144,$35.25,commuter14
5943 7096 7822 9760,$133.50,commuter14
2613 1980 3123 3340,$45.00,commuter14
2286 6695 3604 4610,$0.50,commuter14
6424 6731 7610 2560,$27.00,commuter14
4792 3237 0767 9860,$34.00,commuter14
2006 5177 8286 5770,$127.25,commuter14
3590 0982 3516 6490,$16.25,commuter14
2275 7184 2341 0130,$143.25,commuter14
8802 5580 7852 8210,$42.25,busrider73
9712 5269 0381 6770,$68.50,busrider73
6603 8084 1616 8570,$41.50,busrider73
9286 9307 9447 9390,$116.25,kellis
0123 4567 8098 7654,$140.25,
9876 5432 1234 5670,$92.50,
7534 7855 6258 8930,$85.50,adinozzo
3346 8222 6725 8650,$113.00,
1258 8256 9146 2690,$144.75,
4156 7714 0793 9460,$110.50,
1156 6359 5268 3150,$141.00,
